BugID,FI,NI,SI,RI,CC,ElapsedTime,CI,OE,OW,Priority
11234,0,3,0,0,3,9488.08329861111,3,86.0,2.0,2.0
137,0,3,0,0,3,327.8892824074074,3,8.0,0.0,1.0
145,0,3,0,0,3,830.805775462963,2,333.0,1.0,2.0
149,0,10,0,0,5,7361.229409722222,6,222.0,0.0,1.0
213,30,15,10,2,11,7076.719409722222,13,78.0,0.0,4.0
223,6,3,1,1,5,7364.540543981481,5,222.0,0.0,4.0
314,4,6,0,0,5,9685.26824074074,4,415.0,1.0,1.0
335,0,0,6,6,4,294.77821759259257,3,415.0,1.0,1.0
346,2,0,1,1,3,297.7297453703704,2,416.0,0.0,2.0
373,3,0,3,0,4,7259.522800925926,3,333.0,1.0,4.0
375,3,0,3,2,4,7285.894618055556,3,278.0,0.0,5.0
432,12,3,6,2,7,1678.0042361111111,9,115.0,2.0,2.0
572,6,3,1,1,5,5986.187175925926,6,651.0,1.0,5.0
594,4,1,1,1,4,876.4866666666667,5,652.0,0.0,5.0
593,4,1,1,1,4,1206.158472222222,5,536.0,0.0,2.0
589,3,3,0,0,4,3010.2150810185185,3,461.0,0.0,2.0
577,15,3,10,6,8,269.4097106481481,10,650.0,2.0,2.0
573,4,1,1,0,4,187.1215162037037,3,461.0,0.0,2.0
602,2,0,1,1,3,218.92637731481483,4,533.0,3.0,2.0
604,3,0,3,1,4,873.4811574074074,5,641.0,1.0,2.0
607,2,0,1,0,3,181.53748842592591,2,535.0,1.0,2.0
608,0,0,0,0,1,0.0,0,535.0,1.0,2.0
617,0,0,1,0,2,243.32984953703703,1,639.0,3.0,2.0
621,0,0,1,0,2,117.42221064814817,1,461.0,0.0,2.0
613,4,0,6,4,5,181.04859953703703,6,650.0,2.0,2.0
633,0,0,1,0,2,242.331238425926,1,640.0,2.0,2.0
642,0,0,1,1,2,213.41179398148148,1,536.0,0.0,2.0
651,1,0,0,0,2,212.41248842592591,1,536.0,0.0,2.0
645,0,0,3,2,3,177.53957175925925,2,650.0,2.0,2.0
